Order_ID,Date,Product_ID,Product_Name,Category,Warehouse_ID,Region,Sales_Quantity,Unit_Price,Discount_Percent,Promotion_Applied,Supplier,Lead_Time_Days,Revenue
507329,2024-11-28,SKU1000,Electronics_Item_1,Electronics,WH_SOUTH,South,4,9457.32,0.0,No,Supplier_A,7.0,37829.28
507382,2024-11-30,SKU1011,Fashion_Item_2,Fashion,WH_WEST,West,17,282.38,5.0,No,Supplier_C,14.0,4560.44
503790,2024-06-20,SKU1010,Fashion_Item_1,Fashion,WH_WEST,West,4,1240.02,10.0,No,Supplier_D,3.0,4464.07
502989,2024-05-13,SKU1028,Home_Item_9,Home & Kitchen,WH_SOUTH,South,7,716.34,0.0,No,Supplier_D,7.0,5014.38
507360,2024-11-29,SKU1018,Fashion_Item_9,Fashion,WH_SOUTH,South,17,2038.19,0.0,No,Supplier_B,5.0,34649.23
511635,2025-06-12,SKU1016,Fashion_Item_7,Fashion,WH_WEST,West,10,497.81,10.0,No,Supplier_A,7.0,4480.29
503176,2024-05-23,SKU1003,Electronics_Item_4,Electronics,WH_SOUTH,South,5,21674.48,0.0,Yes,Supplier_D,7.0,108372.4
500856,2024-02-09,SKU1021,Home_Item_2,Home & Kitchen,WH_NORTH,North,9,2700.26,0.0,Yes,Supplier_B,10.0,24302.34
508780,2025-02-02,SKU1021,Home_Item_2,Home & Kitchen,WH_WEST,West,9,2700.26,0.0,No,Supplier_B,10.0,24302.34
508306,2025-01-12,SKU1007,Electronics_Item_8,Electronics,WH_SOUTH,South,1,13190.2,0.0,No,Supplier_D,,13190.2
507277,2024-11-25,SKU1004,Electronics_Item_5,Electronics,WH_NORTH,North,7,661.52,15.0,No,Supplier_B,10.0,3936.04
511332,2025-05-29,SKU1031,Grocery_Item_2,Grocery,WH_NORTH,North,15,2789.96,5.0,No,Supplier_B,3.0,39756.93
510795,2025-05-05,SKU1018,Fashion_Item_9,fashion  ,WH_WEST,West,10,2038.19,0.0,No,Supplier_B,5.0,20381.9
503291,2024-05-28,SKU1009,Electronics_Item_10,Electronics,WH_SOUTH,South,5,1309.64,0.0,No,Supplier_D,7.0,6548.2
500799,2024-02-06,SKU1033,Grocery_Item_4,Grocery,WH_WEST,West,15,1093.06,5.0,No,Supplier_D,14.0,15576.1
501235,2024-02-25,SKU1032,Grocery_Item_3,Grocery,WH_WEST,West,13,2757.64,0.0,No,Supplier_A,10.0,35849.32
501414,2024-03-05,SKU1013,Fashion_Item_4,Fashion,WH_NORTH,North,7,2835.28,10.0,No,Supplier_B,5.0,17862.26
510934,2025-05-11,SKU1020,Home_Item_1,Home & Kitchen,WH_WEST,West,7,2359.13,15.0,No,Supplier_B,5.0,14036.82
511167,2025-05-22,SKU1027,Home_Item_8,Home & Kitchen,WH_WEST,West,6,194.56,20.0,No,Supplier_A,3.0,933.89
511529,2025-06-07,SKU1033,Grocery_Item_4,Grocery,WH_SOUTH,South,23,,5.0,No,Supplier_D,14.0,23883.36
501520,2024-03-09,SKU1030,Grocery_Item_1,Grocery,WH_NORTH,North,24,2402.0,15.0,No,Supplier_C,14.0,49000.8
508566,2025-01-23,SKU1027,Home_Item_8,Home & Kitchen,WH_WEST,West,8,194.56,0.0,Yes,Supplier_A,3.0,1556.48
504790,2024-08-04,SKU1014,Fashion_Item_5,Fashion,WH_WEST,West,12,1248.44,0.0,No,Supplier_B,14.0,14981.28
509558,2025-03-10,SKU1027,Home_Item_8,Home & Kitchen,WH_SOUTH,South,8,194.56,0.0,No,Supplier_A,3.0,1556.48
502415,2024-04-16,SKU1038,Grocery_Item_9,Grocery,WH_NORTH,North,6,1639.79,0.0,No,Supplier_C,5.0,9838.74
511076,17/05/2025,SKU1035,Grocery_Item_6,Grocery,WH_WEST,West,24,1749.54,5.0,No,Supplier_C,14.0,39889.51
509783,2025-03-20,SKU1025,Home_Item_6,Home & Kitchen,WH_WEST,West,5,1880.05,10.0,No,Supplier_A,3.0,8460.22
505006,2024-08-14,SKU1024,Home_Item_5,Home & Kitchen,WH_NORTH,North,8,1822.24,15.0,No,Supplier_A,10.0,12391.23
502625,2024-04-26,SKU1014,Fashion_Item_5,Fashion,WH_WEST,West,6,1248.44,0.0,No,Supplier_B,14.0,7490.64
510007,2025-03-30,SKU1021,Home_Item_2,Home & Kitchen,WH_WEST,West,6,2700.26,5.0,No,Supplier_B,10.0,15391.48
505696,2024-09-14,SKU1014,Fashion_Item_5,Fashion,WH_SOUTH,South,12,1248.44,0.0,No,Supplier_B,14.0,14981.28
502705,2024-04-30,SKU1027,Home_Item_8,Home & Kitchen,WH_WEST,West,9,194.56,0.0,No,Supplier_A,3.0,1751.04
505298,2024-08-27,SKU1018,Fashion_Item_9,Fashion,WH_NORTH,North,11,2038.19,20.0,Yes,Supplier_B,5.0,17936.07
506531,2024-10-21,SKU1027,Home_Item_8,Home & Kitchen,WH_WEST,West,7,194.56,0.0,No,Supplier_A,3.0,1361.92
505907,2024-09-24,SKU1003,Electronics_Item_4,electronics  ,WH_SOUTH,South,3,21674.48,,No,Supplier_D,7.0,55269.92
