Order_ID,Sale_Date,Product_ID,Warehouse_ID,Sales_Quantity,Unit_Price,Discount_Percent,Promotion_Applied,Revenue
500011,2024-01-01,SKU1023,WH_WEST,6,1257.73,10.0,No,6791.74
500002,2024-01-01,SKU1005,WH_NORTH,4,23473.03,0.0,Yes,93892.12
500003,2024-01-01,SKU1008,WH_SOUTH,6,7387.04,0.0,Yes,44322.24
500008,2024-01-01,SKU1018,WH_NORTH,8,2038.19,0.0,No,16305.52
500012,2024-01-01,SKU1024,WH_NORTH,9,1822.24,10.0,Yes,14760.14
500014,2024-01-01,SKU1028,WH_WEST,3,716.34,20.0,No,1719.22
500010,2024-01-01,SKU1021,WH_NORTH,5,2700.26,5.0,No,12826.24
500013,2024-01-01,SKU1027,WH_WEST,6,194.56,0.0,No,1167.36
500006,2024-01-01,SKU1016,WH_SOUTH,5,497.81,5.0,No,2364.6
500000,2024-01-01,SKU1000,WH_WEST,4,9457.32,0.0,No,37829.28
500009,2024-01-01,SKU1019,WH_NORTH,7,1767.95,0.0,No,12375.65
500001,2024-01-01,SKU1001,WH_WEST,2,19525.32,5.0,No,37098.11
500016,2024-01-01,SKU1033,WH_WEST,17,1093.06,0.0,No,18582.02
500004,2024-01-01,SKU1011,WH_NORTH,5,282.38,0.0,No,1411.9
500005,2024-01-01,SKU1013,WH_WEST,7,2835.28,0.0,No,19846.96
500015,2024-01-01,SKU1031,WH_NORTH,15,2789.96,10.0,No,37664.46
500017,2024-01-01,SKU1036,WH_NORTH,19,2919.38,0.0,No,55468.22
500007,2024-01-01,SKU1017,WH_WEST,9,2741.56,15.0,Yes,20972.93
500018,2024-01-01,SKU1038,WH_SOUTH,16,1639.79,5.0,Yes,24924.81
500035,2024-01-02,SKU1027,WH_WEST,5,194.56,10.0,No,875.52
500033,2024-01-02,SKU1022,WH_WEST,5,278.9,0.0,No,1394.5
500022,2024-01-02,SKU1004,WH_SOUTH,3,661.52,20.0,No,1587.65
500027,2024-01-02,SKU1013,WH_WEST,14,2835.28,5.0,Yes,37709.22
500037,2024-01-02,SKU1030,WH_NORTH,22,2402.0,10.0,Yes,47559.6
500032,2024-01-02,SKU1021,WH_NORTH,5,2700.26,10.0,No,12151.17
500021,2024-01-02,SKU1003,WH_WEST,4,21674.48,0.0,No,86697.92
500028,2024-01-02,SKU1017,WH_WEST,8,2741.56,0.0,No,21932.48
500030,2024-01-02,SKU1019,WH_WEST,6,1767.95,10.0,No,9546.93
500024,2024-01-02,SKU1007,WH_NORTH,4,13190.2,0.0,No,52760.8
500025,2024-01-02,SKU1009,WH_NORTH,4,1309.64,0.0,No,5238.56
500040,2024-01-02,SKU1033,WH_WEST,17,1093.06,15.0,No,15794.72
500041,2024-01-02,SKU1038,WH_SOUTH,15,1639.79,5.0,No,23367.01
500029,2024-01-02,SKU1018,WH_NORTH,6,2038.19,0.0,No,12229.14
500020,2024-01-02,SKU1002,WH_WEST,5,4026.46,5.0,No,19125.68
500031,2024-01-02,SKU1020,WH_WEST,5,2359.13,0.0,No,11795.65
500023,2024-01-02,SKU1006,WH_SOUTH,4,4707.6,0.0,No,18830.4
500038,2024-01-02,SKU1031,WH_WEST,13,2789.96,15.0,No,30829.06
500034,2024-01-02,SKU1024,WH_NORTH,3,1822.24,0.0,No,5466.72
500036,2024-01-02,SKU1028,WH_SOUTH,4,716.34,0.0,No,2865.36
500026,2024-01-02,SKU1011,WH_WEST,4,282.38,0.0,No,1129.52
500039,2024-01-02,SKU1032,WH_NORTH,24,2757.64,0.0,Yes,66183.36
500019,2024-01-02,SKU1000,WH_NORTH,3,9457.32,0.0,No,28371.96
500043,2024-01-03,SKU1002,WH_WEST,2,4026.46,5.0,No,7650.27
500050,2024-01-03,SKU1011,WH_NORTH,8,282.38,0.0,No,2259.04
500063,2024-01-03,SKU1034,WH_SOUTH,12,2229.38,0.0,No,26752.56
500048,2024-01-03,SKU1009,WH_WEST,5,1309.64,15.0,No,5565.97
500061,2024-01-03,SKU1031,WH_SOUTH,11,2789.96,5.0,No,29155.08
500047,2024-01-03,SKU1006,WH_WEST,4,4707.6,0.0,No,18830.4
500049,2024-01-03,SKU1010,WH_SOUTH,12,1240.02,0.0,Yes,14880.24
500045,2024-01-03,SKU1004,WH_SOUTH,3,661.52,0.0,No,1984.56
500056,2024-01-03,SKU1021,WH_SOUTH,3,2700.26,10.0,No,7290.7
500057,2024-01-03,SKU1023,WH_NORTH,7,1257.73,0.0,No,8804.11
500051,2024-01-03,SKU1012,WH_SOUTH,9,1433.92,10.0,No,11614.75
500053,2024-01-03,SKU1016,WH_WEST,10,497.81,10.0,Yes,4480.29
500062,2024-01-03,SKU1032,WH_WEST,14,2757.64,0.0,No,38606.96
500052,2024-01-03,SKU1015,WH_SOUTH,8,808.05,15.0,No,5494.74
500042,2024-01-03,SKU1001,WH_SOUTH,3,19525.32,5.0,No,55647.16
500064,2024-01-03,SKU1035,WH_WEST,20,1749.54,0.0,Yes,34990.8
500044,2024-01-03,SKU1003,WH_WEST,5,21674.48,15.0,No,92116.54
500055,2024-01-03,SKU1020,WH_SOUTH,5,2359.13,15.0,No,10026.3
500060,2024-01-03,SKU1030,WH_WEST,29,2402.0,0.0,Yes,69658.0
500054,2024-01-03,SKU1019,WH_WEST,9,1767.95,0.0,No,15911.55
500058,2024-01-03,SKU1024,WH_SOUTH,6,1822.24,5.0,No,10386.77
500059,2024-01-03,SKU1026,WH_WEST,4,994.38,0.0,No,3977.52
500066,2024-01-03,SKU1039,WH_WEST,10,222.44,10.0,No,2001.96
500046,2024-01-03,SKU1005,WH_WEST,5,23473.03,10.0,No,105628.64
500065,2024-01-03,SKU1036,WH_NORTH,14,2919.38,0.0,Yes,40871.32
